title,content,user_id,specialty_id,video_id,created_at,updated_at
DONE!! Re-watch 1-5 & 8 on Sat ,"",10563,26,,2014-04-22 23:03:58 UTC,2014-04-22 23:04:14 UTC
DONE!! Re-watch CXR,"",10563,23,,2014-04-22 10:08:39 UTC,2014-04-22 10:08:56 UTC
DONE!! but re-watch breast & thyroid podcasts,"",10563,15,,2014-04-21 22:23:34 UTC,2014-04-21 22:24:46 UTC
Falls multifactorial risk assessment,"Falls history (this one and others)<br>Gait, balance, mobility, muscle weakness<br>Osteoporosis risk<br>Fear of falling<br>Visual impairment<br>Cognitive impairment<br>Continence<br>Home hazard<br>Meds review<br><br><br><br>SENSORY:<br>- hearing loss, abnormal proprioception, visual impairment, peripheral neuropathy<br><br>MUSCULOSKELETAL<br>- arthritis, foot disorders, muscle weakness<br><br>CENTRAL INTEGRATIVE:<br>- dementia, depression, gait disorder<br><br>SYSTEMIC<br>- metabolic (thyroid), Acute illnesses (UTI, pneumonia), Postural hypotension, Cardiovascular",11170,168,219,2014-04-21 07:00:27 UTC,2014-04-21 07:04:11 UTC
Aortic stenosis,"O/E: Regular pulse,slow-rising volume, narrow-pulse pressure; apex beat is heaving but not displaced; auscultation: soft second hard sound + harsh crescendo decrescendo murmur loudest at right 2nd&nbsp;intercostal space in expiration radiating to both carotids<br><br>Differential:&nbsp;<br>Aortic sclerosis if it doesn't radiate to carotids<br>Innocent systolic murmur<br>Pulmonary stenosis<br>Mitral/Tricuspid regurgitation<br>HOCM<br>A/VSD<br><br><br>Present with: syncope, dyspnoea, angina esp exertional (can also ""present"") with sudden death<br><br>Aetiology: degenerative, congenital bicuspid, rheumatic heart disease<br><br>Ix: ECG - P mitrale and LVH and strain pattern + LAD<br><br>CXR - LVH confirmed, calcified aortic valve<br><br>Echo: Doppler. severe if &gt;50mmHg pressure gradient or valve area &lt;1cm2<br><br>Cath: Valve gradient, Left ventricular function, coronary artery disease, aortic root<br><br>Tx: depends on SEVERITY&nbsp;<br>surgery is definitive<br><br><br>",11170,2,116,2014-04-20 10:41:38 UTC,2014-04-20 10:47:10 UTC
s3 and s4 ,"S3 - early diastole; rapid ventricular filling<br>Ken....tu.cky<br><br>Physiological in children and young healthy adults &lt;40<br><br>Pathological in : ventricular dilatation, increased systolic function, elevated diastolic filling pressure<br>Conditions predisposing:<br>1. CAD<br>2. Cardiomyopathy<br>3. Left to right shunt<br>4. ASD/PDA<br>5. Incompetent valves<br><br>- can also be heart in the gallop rhythm of heart failure<br><br><br><br>S4 - late diastolic filling phase when atria contract<br>Ten.ne...........see<br><br>as part of gallop rhythm&nbsp;<br>sign of ventricles that are stiff<br><br>heard in:<br>1. CAD<br>2. HTN<br>3. AS and PS<br><br>",11170,2,8,2014-04-19 12:37:34 UTC,2014-04-19 12:39:28 UTC
htn drugs special,"Certain co-morbidites will make you more likely to use certain anti-hypertensives (e.g. diabetic nephropathy - ACEi, angina - beta-blocker, prostatic symtpoms - alpha - blocker)",11170,2,6,2014-04-19 11:44:16 UTC,2014-04-19 11:44:16 UTC
VINDICATE (eg: AF) + Tests + Clubbing,"Vascular &nbsp;-- IHD, MR (and other valvular probs)<br>Infection/Immune -- pneumonia, endocarditis<br>Neoplasia -- atrial myxoma<br>Degenerative<br>Idiopathic/Iatrogenic -- certain antiarrhytmic drugs often have arrhythmogenic properties<br>Congenital<br>Autoimmune<br>Trauma<br>Endocrine/Metabolic -- Thyrotoxicosis<br><br><br><br>Break up tests into categories:<br>1. Cultures (blood, urine, swabs)<br>2. Blood tests (arterial &amp; venous)<br>3. Imaging (eg CXR)<br>4. Scope/biopsy (eg angiography)<br>5. Functional (eg. ECG)<br><br>also newer(ish) modalities: cardiac MRI and nuclear tests<br><br><br><span><b>The development of clubbing has 4 important steps:</b><br>1. Fluctuation and softening of the nail bed <br>2. Loss of the normal angle between nailbed and nailfold (&lt;165° angle) <br>3. Increased convexity of the nail fold <br>4. Drumstick appearance of nail (thickening of the distal finger)</span><br>",11170,2,5,2014-04-19 09:40:38 UTC,2014-04-19 09:54:57 UTC
DONE!!!,"",10563,19,,2014-04-18 16:11:40 UTC,2014-04-18 16:11:58 UTC
DONE!!,"",10563,18,,2014-04-18 15:16:55 UTC,2014-04-18 15:17:05 UTC
DONE!!,"",10563,16,,2014-04-18 14:24:07 UTC,2014-04-18 14:24:12 UTC
DONE!!,"",10563,30,,2014-04-15 21:06:50 UTC,2014-04-15 21:06:59 UTC
DONE!!,"",10563,12,,2014-04-15 19:23:54 UTC,2014-04-15 19:24:03 UTC
DONE!!,"",10563,24,,2014-04-14 13:45:27 UTC,2014-04-14 13:45:36 UTC
Untitled,,11681,20,,2014-04-13 12:28:07 UTC,2014-04-13 12:28:08 UTC
DONE!!,"",10563,167,,2014-04-12 21:33:37 UTC,2014-04-12 21:33:44 UTC
DONE!! Complex so should listen to again but not for exams,"",10563,8,,2014-04-12 20:19:40 UTC,2014-04-12 20:20:02 UTC
DONE!! but re-watch vasculitis,"",10563,6,,2014-04-10 21:32:11 UTC,2014-04-10 21:32:37 UTC
DONE!!,"",10563,3,,2014-04-10 19:40:27 UTC,2014-04-10 19:40:46 UTC
Untitled,,11662,166,,2014-04-09 11:44:41 UTC,2014-04-09 11:44:41 UTC
Flexor carpi superficials & Flexor carpi profundus ,The FCS splits in to two tendons at its distal attachment on the phalanges. The tendon of the FCP passes through this divided to attach distally to the end of the phalanges. This helps in their co-ordinated function of flexing the fingers.&nbsp;,11660,166,,2014-04-09 08:51:04 UTC,2014-04-09 08:52:54 UTC
DONE!!,"",10563,168,,2014-04-07 17:30:34 UTC,2014-04-07 17:30:42 UTC
Arrythmias ,"<ul><li>Most people with arrythmias dont know they have them at all and are aymptomatic. Others have severe decomepesated cardiac disease with chest pain? Some may present with pulmonary oedema or syncope and heart is so irregular it cant pump up to brain properly.&nbsp;</li><li>Sudden death cause mostly is arrythmia.&nbsp;</li><li>If the rhythym has propensity to deteriorate it must be treated.&nbsp;</li><li>Another reason to treat is decomepnsation</li><li>Four cardinal features of symptomaology of arrythmias?&nbsp;</li><li>Chest pain and artery clogged with ischaemiac heart disease with homestatic mchanisms are much less than possible.&nbsp;</li><li>Patients with pulopmary oedma and heart failure may have a certain propensity for pulmonary oedmea&nbsp;</li><li>Adverse feature, shock syncope myocardial ischaemia and heart failure?</li></ul>Bradycardias are caused by two reasons: either they are not generated properly(Sick sinus syndrome) or they are being generated properly ut arent being conduced right which is the case in heart block.&nbsp;<br><br><ul><li>Bad generation is mainly caused by things such as sick sinus syndrome which happens in elderly patients that becomes worse as you get older.&nbsp;</li><li>Sick sinus happens with Fibrosis of SA node and Perinodal tissue.&nbsp;</li><li>Intermittenent failure of impulse generation and propagation</li><li>Long pauses between P waves and ectopics.</li><li>First degree heart block can be of very little clinic significant&nbsp;</li><li>3rd degree heart block where there is no pattern between the atria and ventircles</li><li>2nd degree heart block you will typically see missed beats. ....type 2you have a sudden lengthening of the p interval and then the missed beat comes but it is otherways regular.&nbsp;&nbsp;</li><li>type 2 you have a progressive lengthening pr interval until the drop and counterintutiively it is less severe and less likely to progress to complete heart block.&nbsp;</li><li>If it is slow speed it up in bradycardia....ATROPINE IS GIVEN FOR BRADYCARDIAS UNDER 6 AND CAN BE GIVE MULTIPLE TIMES AS IT INCREASES RATE THROUGH EFFECT ON VAGUS NERVE</li><li>Atropine relies on somewhat of a normal conductions system&nbsp;</li><li>punching someone in their chest will pace their heart</li><li>central line ca help pace the heart</li><li>pacemaker can help &nbsp;shock the heart into rhythm.&nbsp;</li><li>when do you give adrenaline</li><li>?pacing is one of things that you use in these cases.&nbsp;</li></ul>Tachycardias&nbsp;<br><br><ul><li>Rate is greater than 100 is a tachycardia.&nbsp;</li><li>Is it supraventricular tachcardia or is it a ventricular tachcardia?&nbsp;</li><li><b>SVT is narrow QRS complexes</b><br></li><li><b>Wide QRS complexes is ventricular tachycardia</b></li></ul><b>BUNDLE BRANCH BLOCK....<br></b><br>Problem with the impulses not being passed down the bundle properly with th ecomplexes going wide<br>With SVT you wont get narrow complex tachycardia but broad complex tachycardia<br>Implulse from SVT wont give narrow complex with bundle branch block you get narrow complex tachcardia but broad complex tachycardia.... a few techniques to explain them but they are very difficult.&nbsp;<br><b>RBBB is an RSR in V1 M of Marrow</b><br><b>LBB is RSR is V^</b>&nbsp;<br>RSR? - Ir. r wave in which side of the wave do they exist?&nbsp;<br>Broad QRS greater 1.1.12 it is either ventricular&nbsp;<br>Torasauds de poids and VT an dVF are the main ventricular arrythmias.&nbsp;<br><br>Ventricular fibrillation looks like a childs squiggle&nbsp;<br>If it looks all over the place then the patient is on the bed the patient needs to be ressucaitated<br>VT is also associated with the patient being dead<br><br>VT can be very well tolerated with the patient talking with the person at the same time.&nbsp;<br>VT sometimes isnt associated with being dead.<br><br>Are the QRS complexes regular or irregular on the ECG<br><br>You are probably dealing with a sinus tachycardia<br>AV and RT<br>AV renetrant tachcardia is something that you should be aware of when you are dealing with this<br><br>sinus tachycardia. Approiate response with response , pain exercise and anxiety.<br>Can happen in <b>serious situations such as hypovolaemia</b> and getting the <b>heart to pump faster with pulmonary embolism </b>and <b>thyrotoxicosis</b> and <b>anything with sympathomimetic action.&nbsp;</b><br><br>AV nodal&nbsp;<br>There is a local pathway that is formed that is going around and around and is reentance tachycardia.&nbsp;<br>Ventricles going around very fast.&nbsp;<br>Pathway between the atria and the ventricles<br><br>Not reentance or tachcardia but reentrance in the AV node going round and round.&nbsp;<br><br>Circuits which are low resistence allow impulses to go straight through and cause a tachycardia.&nbsp;<br><br>WPW- is an accessory pathway mediated mechanism through the bundle of kent.&nbsp;<br>Delta complex through the QRS complex goes through the delta wave and the regular SVTs.<br><br>ATachycardias you use: <b>Conservative; Valasava manouver(blowing all the way out into a paper bag)&nbsp;, carotid and ocular pressure is taken.&nbsp;</b><br><br><b>Drugs are; adenosine or amiodarone</b><br><b>Electricity is DC cardioversion.&nbsp;<br></b><br><b></b>Adenosine is a sudden punch in VT.&nbsp;<br><br>DC cardioversion is when the patient is unwell of instablity chest pain loss of consciousness and.&nbsp;<br><br>Atrial fibrilliation is SVT because its fast and its irregular. Can be very difficult to tell if it is regular or irregular and hold a piece of paper and put a line and compare it along.&nbsp;<br>Absent p waves because SA node does not give absent p wave in any situation.<br><br>Atrial fibrillaionis rate control- or rhythym control<br><br>use drugs to control ventricular response<br>Requires anticoagulation is beta blockers or calcium channel blockers and digoxin.&nbsp;<br><br>Heart failure and AF= Digoxin and then when you do atrial fibrilliation and the chance of a thrombus forming is much greater. Most often it form in the left artia which forms in a stroke. A patient without anticoagulation.&nbsp;<br><br>If you are relatively low risk you can give aspirin instead of warfarin is given.&nbsp;<br>person if they stayed in AF &nbsp;may not just get warfarin but may get aspirin aswell.&nbsp;<br><br>If you get them out of AF, you can either use drugs or atrial fibrillation&nbsp;<br><br>Rhythym control is flecanide and DC cardioversion and amiodarone ....flecanide is used to maintain sinus rhythym or DC cardioversion...elderly patients to use amiodarone.&nbsp;<br><br>Drugs or electiricty to restore rhythym.<br><br><br><br><br>",4117,2,162,2014-04-07 13:03:55 UTC,2014-04-07 13:03:55 UTC
DONE!!,"",10563,13,,2014-04-04 22:34:21 UTC,2014-04-04 22:34:27 UTC
DONE!!,"",10563,13,,2014-04-04 22:34:02 UTC,2014-04-04 22:34:07 UTC
DONE!!,"",10563,4,,2014-04-04 20:57:38 UTC,2014-04-04 20:57:48 UTC
Untitled,,11467,21,,2014-03-31 15:57:55 UTC,2014-03-31 15:57:55 UTC
Autoimmune Disease,"HLA alleles: AS HLA B27, RA HLA DR3, Type 1 DM HLA DR3 DR4, Goodpastures DR2<br><br>Gell-Coombes Classification<br>Type 1 - IgE mediated (allergies)<br>Type 2 - antibody-mediated (igm/igg) -&gt; tissue damage (hemolytic anemia, TCP, pemphigus, acute RF, Goodpastures), receptor activation (Graves), receptor blockade (myasthenia gravis, pernicious anemia)<br>Type 3 - Immune complex mediated (protein-losing enteropathy) --&gt; vasculitis, nephritis, arthritis<br>Type 4 - T cell driven process (celiac) --&gt; delayed type hypersensitivity (CD4/Th1) or CD8 cytoxic driven (MS, DM, contact dermatitis, transplant rejection, TB)<br><br>Lupus: ANA, anti-dsDNA, anti-Smith-Ag, antiphospholipid, lupus antiocagulants (procoagulant effect). Type 3 response occuring in kidney, skin, joints, CNS, CVS and lungs<br>drugs: hydralazine, procainamide, penicillamine, isoniazid",7556,8,38,2014-03-29 16:02:44 UTC,2014-03-29 16:02:44 UTC
Allergies - C1 inhibitor deficiency,"AD condition where patients present with recurrent agioedema and abdominal symptoms with ABSENCE of urticaria (low levels of C3 and C4)<br>Rx: danazole and C1 inhibitor concentrate/FFP<br><br>Allergies are Type 1 hypersensitivity responses<br>Food allergy: usually Type 1, protein losing enteropathy is Type 3 and Celiac is Type 4",7556,8,36,2014-03-29 15:47:41 UTC,2014-03-29 15:47:41 UTC
self-harm,MATTERS,10563,21,,2014-03-29 13:22:21 UTC,2014-03-29 13:22:48 UTC
DONE!!,"",10563,21,,2014-03-29 13:22:11 UTC,2014-04-05 18:01:44 UTC
Untitled,,936,2,,2014-03-27 20:55:37 UTC,2014-03-27 20:55:37 UTC
Note test 26032014,Test test test...<br>,11611,4,253,2014-03-26 13:21:47 UTC,2014-03-26 13:21:47 UTC
Untitled,,8255,21,,2014-03-23 21:06:03 UTC,2014-03-23 21:06:03 UTC
Untitled,,11585,21,,2014-03-19 20:47:54 UTC,2014-03-19 20:47:54 UTC
Untitled,,11581,12,,2014-03-19 13:06:07 UTC,2014-03-19 13:06:08 UTC
Epilepsy,"Epilepsy - 2 or more siezures<br>SE - medical emergency<br>Drugs - 2nd most common cause of siezure. Antidepressants, alcohol. N.b. withdrawal from any drug!<br>Hypoglycaemia<br><br><br>Classification<br>- Focal - Simple, complex, focal with secondary generalised.<br>- Generalized - tonic(rigid) clonic(jerking) (most common), tonic, myoclonic, absence, atonic (drop attacks). ALL cause LOC.&nbsp;<br><br>HIstory<br>Pre(before), attack, post(after) ictal.&nbsp;<br>Pre-risk factors: triggers, timing, aura, colour (flushing, pale etc for DD).<br><br>Check any previous head injuries, infection e.g. meningtitis, stroke in past, alcohol, family history.&nbsp;<br><br>Ictal:<br>Duration, onset, impairment of consciousness, urinary incontinence, cyanosis,<br><br>Is it really a true siezure?<br>DD Faking it? Complicated migraine? Hyperventilate - alkalotic, albumin binds to calcium,&nbsp;hypocalcaemia, breathe into brown bag.&nbsp;<br>Syncopal episode - vasovagal? Pro-dromal symptoms. Absence of aura. Clonic activity, but mild. Duration is shorter (&lt;30s) in syncope.&nbsp;<br><br>Examination<br>Alert, orientated. GCS14-15.<br>Cranial nerve, neurological exam.&nbsp;<br><br><br>INvestigation - brain scans and EEG - patient never had siezure before.&nbsp;<br><br><br>Management - &nbsp;<br>Anti-epiletic medication - carbamazapine: sodium channel blocker. Prevents repetitive neuronal discharge. Focal and secondary.&nbsp;<br>&nbsp;SIde effects: tremors, weight gain, SIADH (hyponatraemic pattern on U+Es) --&gt; monitor levels of drug.<br>Sodium valproate - used as broad spectrum, leucopenia, skin sensitivity, avoid in pregnancy.&nbsp;<br>Phenytoin &nbsp;- sodium channel blocker. Particularly in motor cortex. Tonic clonic, status epilepticus. Hypersensitivity syndrome (fever, rash, hepatorenal syndrome, heptiatis, haemolysis).&nbsp;<br>Lamotrigine - broad spectrum in all siezures. Steven Johnson syndrome.&nbsp;<br><br>Acute management of siezure:<br><br>1) A (patent? struggling? Nasopharyngeal airway).&nbsp;B (non-breathe mask, high flow oxygen 15l)&nbsp;C (blood pressure), D for danger.&nbsp;<br>2) Assess consciousness level<br>3) IV access.&nbsp;<br>wait for 5 minutes, applyo O2, look at sugar (hypoglycaemia, common cause. Dextrose 15ml stat if found).&nbsp;<br><br>Active management after 5 minutes.&nbsp;<br>Midazelam (up 10mg IV), or diazepam (up to 20mg IV).&nbsp;<br><br>ABC again. Most will sieze.&nbsp;<br><br>Observations. Still in siezure --&gt; start protocol for SE.&nbsp;<br><br>Medazelam, diazepam. Give another dose.&nbsp;<br>are they still fitting?&nbsp;<br>Phenytoin.&nbsp;<br><br>ECG - bradycardia with phenytoin.&nbsp;<br><br>Intubate patient if still fitting.&nbsp;<br><br><br>Complications<br>PAtients become hypoxic, cerebral ischaemia. Multiple siezures.&nbsp;<br>Cerebral oedema.&nbsp;<br>Aspiration pneumonitis.&nbsp;<br>Hypothermia.&nbsp;<br>Fractures.&nbsp;",9814,12,206,2014-03-17 23:52:15 UTC,2014-03-17 23:52:15 UTC
"","Osmolality =2(Na +K) + urea + glucose -&gt; becuase Na+K should = HCO + Cl<br>Input and output over a day should be eqivalent for homeostasis.<br><br>Requirements - 40mL/kg/day. Electrolytes - Na - 100mmol, K - 60 mmol/day<br><br>Assessing fluid status:<br>- review pt notes - fluid balance chart, drugs, obs<br>- examine the patient - check signs and obs<br>- investigations -&nbsp;<br><br><br>Urine output should be at least 0.5ml/kg/hour (30mL/hr for a 70kg man)<br><br>Resus - replacing losses - saline, blood or colloid.<br>Maintenance - pts who are NBM. 3L total (3L dextrose saline&nbsp;or 1L saline + 2L dextrose + 20mL K in each bag)<br>Electrolyte disturbance<br><br>Maintenance:<br>If fever = +20% per day<br>Post-op, hold off K+ because of intracellular K leak<br>Extra losses - need to replace losses (in addition to maintenance)",9726,15,59,2014-03-17 03:42:11 UTC,2014-03-17 03:42:11 UTC
Untitled,,10545,17,,2014-03-10 23:55:32 UTC,2014-03-10 23:55:32 UTC
Ulcers,"Number<br>Site<br>Size<br>Base<br>Edge<br>Shape<br>Colour<br>Oedema<br>Eczema<br>Vascular disease ( peripheral pulses, hair loss, cold)<br>Neuropathy ( sensations)<br>Infection ( discharge, lymphadenopathy)<br><br>",10545,16,252,2014-03-10 16:50:01 UTC,2014-03-10 16:50:01 UTC
Untitled,,10806,4,,2014-03-08 18:04:16 UTC,2014-03-08 18:04:16 UTC
Untitled,,11333,4,,2014-03-07 15:58:09 UTC,2014-03-07 15:58:09 UTC
Untitled,,11533,15,,2014-03-06 19:47:12 UTC,2014-03-06 19:47:12 UTC
Untitled,,11028,17,,2014-03-06 19:09:17 UTC,2014-03-06 19:09:17 UTC
